text,category
"pocso case, kidnapping and sexual harassment of minor child at kamatagi bus stand under section 12, 306,363, 18",Harassment
"fatal vehicle accident at bagalkot to aminagad sh-20 road near chapi field under section 338,337,279",Assault
"fatal vehicle accident at amblikoppa bus stand under section 304(A),279",Assault
"fatal vehicle accident at aminagad bagalkot sh 20 road near kabbin kani under section 338,279",Assault
"theft of property at middle of aihole kaligudd village malaprabha river under section 379, 21,4(1A),4(1)",Theft
"fatal vehicle accident at ilal vadageri road near vadageri school under section 338,337,283,279, 196,181,3,146",Assault
"fatal vehicle accident at gudur bus stand under section 279,337,338,304(A)",Assault
"cruelty, verbal abuse and domestic harassment by husband at kalur village accused house under section 149,504,498A,494, 6,5,4",Harassment
"murder of a person at ilal village accused farm house under section 326,307",Assault
"financial fraud at gudur bus stand public place under section 420, 78(III)",Fraud
"fatal vehicle accident at gudur to muradi road gurupadayya kvati fileid nea under section 304(A),279, 181,3",Assault
"fatal vehicle accident at chillapur village tippanna sudi in front house under section 304(A),338,337,279, 181,3",Assault
"fatal vehicle accident at amd to hnd sh-20 road pattanasetti pump near under section 304(A),279",Assault
"molestation and physical attack of woman at infront of complainant house hulaginal village under section 324,323,504,506,354(B)",Harassment
"pocso case, kidnapping and sexual harassment of minor child at huvinahalli village accused house roof under section 354,506,354(A), 8,18, 511",Harassment
"fatal vehicle accident at badami to gudur road near bhimanagad village under section 338,337,279, 196,181,3,146",Assault
"theft of property at benal village basanagouda goudar filied under section 379, 21,4(1A),4(1)",Theft
"missing person report, a person went missing from aminagada bus stand",Missing Person
"molestation and physical attack of woman at victem and accused land nimbalagundi village area under section 324,323,149,148,147,504,341,506,354(B),342",Harassment
"physical assault causing injury at nimbalgundi village area nagappa kendur land under section 323,504,506",Assault
"molestation and physical attack of woman at complainant in house hiremagi village under section 324,323,447,149,504,506,354(B)",Harassment
"molestation and physical attack of woman at complainant in house hiremagi village under section 324,323,447,149,147,143,504,506,354(B)",Harassment
"pocso case, kidnapping and sexual harassment of minor child at basu ilal field k.kallapur under section 8,4, 376(2)(I),109,147,366(A),149,363,366, 6",Harassment
"forgery of document and cheating at aminagad bus stand under section 468,465,419",Fraud
"fatal vehicle accident at aminagad bagalkot sh -20 road near banathikoll under section 279, 187",Assault
"fatal vehicle accident at aminagad near kuri bazar under section 304(A),279, 196,181,3,146",Assault
fatal vehicle accident at aihole to pattadakal on road chillapur crass near under section 279,Assault
"fatal vehicle accident at hungunad to aminagad sh-20 road near granete fract under section 304(A),338,337,279",Assault
"harassment at rakkasagi village harijan keri banikatti near under section 354,323,468,504,34,506, 3(1)(11),3(1)(10)",Harassment
"fatal vehicle accident at aminagad to sulebavi road near tatrani dhaba under section 338,337,279, 196,146",Assault
"fatal vehicle accident at muradi to gudur on road near milk diary muradi under section 338,337,279,304(A)",Assault
"missing person report, a person went missing from complainant house in aihole village",Missing Person
"fatal vehicle accident at bagalkot aminagad sh-20 road near kamatagi 2 km under section 338,337,279, 196,181,3,146",Assault
"missing person report, a person went missing from kamatagi village complainant house",Missing Person
"fatal vehicle accident at gudur aminagad road near kanibasappa tempal under section 279,337,338,304(A), 196,181,3,146",Assault
"fatal vehicle accident at sh-20 road rakkasagi village bridge under section 279,337,338,304(A), 196,181,3,146",Assault
"murder of a person at benal kamatagi road near accused land under section 307,34",Assault
"theft at commercial place at gudur village complainant kirani shop under section 457,380",Theft
"fatal vehicle accident at sh-20 road ramathal-benal cross under section 338,337,279",Assault
"fatal vehicle accident at aminagad hunagund sh-20 road near kuri bazar under section 338,337,279, 196,181,3,146",Assault
"molestation and physical attack of woman at ilal village in complainant house under section 324,323,452,504,506,354(B)",Harassment
"fatal vehicle accident at aminagad sulebavi road near nav chetan school under section 338,279, 187",Assault
"fatal vehicle accident at kamatagi road smashan near under section 279,337,338,304(A)",Assault
"murder of a person at muradi village sangappa akki land under section 307,504,34,323",Assault
"physical assault causing injury at gudur muradi road akki land near under section 324,504,34,506",Assault
"fatal vehicle accident at bagalkot aminagad sh-20 road near kamatagi bridge under section 279,337,338,304(A)",Assault
